Taxon (original name);Taxon (revised nomenclature);Family name;Pollen habit (code);Pollen habit (name);Plant habit
Cissampelos cf. mucronata;Cissampelos-type mucronata;MENISPERMACEAE;L;liana;herbaceous or woody climber
Cissampelos mucronata-type;Cissampelos-type mucronata;MENISPERMACEAE;L;liana;herbaceous or woody climber
Cissampelos* mucronata;Cissampelos-type mucronata;MENISPERMACEAE;L;liana;herbaceous or woody climber
Cissampelos-type mucronata;Cissampelos-type mucronata;MENISPERMACEAE;L;liana;herbaceous or woody climber
Cocculus;Cocculus;MENISPERMACEAE;L;liana;prostrate or erect woody climbers
Cocculus hirsutus;Cocculus hirsutus-type;MENISPERMACEAE;L;liana;woody climber
Cocculus pendulus;Cocculus pendulus-type;MENISPERMACEAE;L;liana;woody climber
Cocculus Type;Cocculus;MENISPERMACEAE;L;liana;prostrate or erect woody climbers
Cocculus-type;Cocculus;MENISPERMACEAE;L;liana;prostrate or erect woody climbers
Menispermaceae Chasmanthera;Chasmanthera-type;MENISPERMACEAE;L;liana;woody lianas
Rhigiocarya racemifera;Rhigiocarya racemifera-type;MENISPERMACEAE;L;liana;large liane
STEPHANIA;Stephania-type;MENISPERMACEAE;L;liana;herbaceous or woody climbers
Stephania/Tiliacora;Stephania/Tiliacora;MENISPERMACEAE;L;liana;herbaceous or woody climbers
Tiliacora;Tiliacora-type;MENISPERMACEAE;L;liana;woody climbers
Tiliacora-type funifera;Tiliacora-type funifera;MENISPERMACEAE;L;liana;woody climber, stems 6-12 m long
Tilicora Type;Tiliacora-type;MENISPERMACEAE;L;liana;woody climbers
Tinospora;Tinospora;MENISPERMACEAE;L;liana;herbaceous or woody lianas, sometimes small shrubs
Tinospora bakis;Tinospora bakis-type;MENISPERMACEAE;L;liana;woody climber
Tinospora Type;Tinospora;MENISPERMACEAE;L;liana;herbaceous or woody lianas, sometimes small shrubs
Entada gigas;Entada-type gigas;MIMOSACEAE;L;liana;large liane up to 25 m high
Bougainvillea sp;Bougainvillea;NYCTAGINACEAE;L;liana;woody climber
type Bougainvillea;Bougainvillea;NYCTAGINACEAE;L;liana;woody climber
Anacolosa uncifera;Anacolosa uncifera;OLACACEAE;L;liana;liane 10 m
Jasminum cf. eminii;Jasminum schimperi-type;OLEACEAE;L;liana;woody climber or scrambler
Jasminum cf. J. dichotomum;Jasminum dichotomum-type;OLEACEAE;L;liana;climbing or scrambling shrub
Jasminum cf. J. eminii;Jasminum schimperi-type;OLEACEAE;L;liana;woody climber or scrambler
Adenia cissampeloides;Adenia cissampeloides-type;PASSIFLORACEAE;L;liana;Subligneous climber, to 25 m
Adenia lobata;Adenia lobata-type;PASSIFLORACEAE;L;liana;tall woody climber
Adenia lobata-type;Adenia lobata-type;PASSIFLORACEAE;L;liana;tall woody climber
Adenia nicobarica;Adenia penangiana-type;PASSIFLORACEAE;L;liana;climber
Passiflora;Passiflora;PASSIFLORACEAE;L;liana;perennial climbing herbs to large lianas
Passiflora foetida-type;Passiflora foetida-type;PASSIFLORACEAE;L;liana;climber or creeper to 4 m
Passiflora suberrosa;Passiflora suberosa-type;PASSIFLORACEAE;L;liana;climber or creeper to 6 m
Passiflora suberrosa-type;Passiflora suberosa-type;PASSIFLORACEAE;L;liana;climber or creeper to 6 m
type Deidamia;Efulensia;PASSIFLORACEAE;L;liana;large climbers
Piper guineense;Piper guineense-type;PIPERACEAE;L;liana;climber up to 10 m high
Clematis mauritiana-type;Clematis-type mauritiana;RANUNCULACEAE;L;liana;Liana
Clematis simensis;Clematis-type simensis;RANUNCULACEAE;L;liana;woody climber to 10 m or more
Clematis simentis;Clematis-type simensis;RANUNCULACEAE;L;liana;woody climber to 10 m or more
Paederia;Paederia;RUBIACEAE;L;liana;Liana
Uncaria africana;Uncaria-type africana;RUBIACEAE;L;liana;liana with stems to 10 m long
Uncaria africana-type;Uncaria-type africana;RUBIACEAE;L;liana;liana with stems to 10 m long
Uncaria-type africana;Uncaria-type africana;RUBIACEAE;L;liana;liana with stems to 10 m long
Cardiospermium;Cardiospermum;SAPINDACEAE;L;liana;annual or perennial climbers
Cardiospermu type;Cardiospermum;SAPINDACEAE;L;liana;annual or perennial climbers
Cardiospermum;Cardiospermum;SAPINDACEAE;L;liana;annual or perennial climbers
CARDIOSPERMUM;Cardiospermum;SAPINDACEAE;L;liana;annual or perennial climbers
cardiospermum;Cardiospermum;SAPINDACEAE;L;liana;annual or perennial climbers
Cardiospermum comp.;Cardiospermum;SAPINDACEAE;L;liana;annual or perennial climbers
Cardiospermum sp.;Cardiospermum;SAPINDACEAE;L;liana;annual or perennial climbers
Cardiospermum-type;Cardiospermum;SAPINDACEAE;L;liana;annual or perennial climbers
cf Paullinia;Paullinia pinnata;SAPINDACEAE;L;liana;woody climber to 5 (-10) m
Paulinia;Paullinia pinnata;SAPINDACEAE;L;liana;woody climber to 5 (-10) m
PAULINIA PINNATA;Paullinia pinnata;SAPINDACEAE;L;liana;woody climber to 5 (-10) m
Paullinea type;Paullinia pinnata;SAPINDACEAE;L;liana;woody climber to 5 (-10) m
Paullinia;Paullinia pinnata;SAPINDACEAE;L;liana;woody climber to 5 (-10) m
Paullinia pinnata;Paullinia pinnata;SAPINDACEAE;L;liana;woody climber to 5 (-10) m
Paullinia-type;Paullinia pinnata;SAPINDACEAE;L;liana;woody climber to 5 (-10) m
Paullinia-type pinnata;Paullinia pinnata;SAPINDACEAE;L;liana;woody climber to 5 (-10) m
Urera hypselodendron;Urera-type hypselodendron;URTICACEAE;L;liana;woody climber to 20 m or more
Urticaceae (-- Urera hypselodendron);Urera-type hypselodendron;URTICACEAE;L;liana;woody climber to 20 m or more
PREMNA LUCENS;Premna-type lucens;VERBENACEAE;L;liana;climber
Cissus aralioides;Cissus aralioides-type;VITACEAE;L;liana;extensive liane or herbaceous climber 2-25 m long
Asystasia comorendeliana;Asystasia gangetica-type;ACANTHACEAE;N;herb;straggling,creeping or climbing perennial herb, 0.4-3.0 m tall or long
Asystasia gangetica;Asystasia gangetica-type;ACANTHACEAE;N;herb;straggling,creeping or climbing perennial herb, 0.4-3.0 m tall or long
Asystasia gangetica-type;Asystasia gangetica-type;ACANTHACEAE;N;herb;straggling,creeping or climbing perennial herb, 0.4-3.0 m tall or long
Asystasia-type gangetica;Asystasia gangetica-type;ACANTHACEAE;N;herb;straggling,creeping or climbing perennial herb, 0.4-3.0 m tall or long
Blepharis;Blepharis-type;ACANTHACEAE;N;herb;erect or prostrate annual or perennial herbs or subshrubs
Blepharis cf.;Blepharis-type;ACANTHACEAE;N;herb;erect or prostrate annual or perennial herbs or subshrubs
Blepharis sp.;Blepharis-type;ACANTHACEAE;N;herb;erect or prostrate annual or perennial herbs or subshrubs
Blepharis Type;Blepharis-type;ACANTHACEAE;N;herb;erect or prostrate annual or perennial herbs or subshrubs
Blepharis-t.;Blepharis-type;ACANTHACEAE;N;herb;erect or prostrate annual or perennial herbs or subshrubs
Brachystephanus;Brachystephanus;ACANTHACEAE;N;herb;herbs often creeping, undershrubs
cf. Blepharis;Blepharis-type;ACANTHACEAE;N;herb;erect or prostrate annual or perennial herbs or subshrubs
Crossandra;Crossandra;ACANTHACEAE;N;herb;perennial herbs or subshrubs
Dicliptera type;Dicliptera-type;ACANTHACEAE;N;herb;erect or straggling herbs
Hygrophila;Hygrophila;ACANTHACEAE;N;herb;annual or perennial herbs
Hygrophila-type;Hygrophila;ACANTHACEAE;N;herb;annual or perennial herbs
Hygrophyla;Hygrophila;ACANTHACEAE;N;herb;annual or perennial herbs
Hygrophylla cf. abyssinica;Hygrophila abyssinica-type;ACANTHACEAE;N;herb;straggling herb
Jusicia flava;Justicia-type flava;ACANTHACEAE;N;herb;trailing or erect, pubescent woody herb, 0.3-3 (-4) m high or long
Justicia anselliana type;Justicia anselliana-type;ACANTHACEAE;N;herb;rhizomatous perennial herb with ascending stems, 3-0.5 (-1) m high or long
JUSTICIA ANSELLIANA*;Justicia anselliana-type;ACANTHACEAE;N;herb;rhizomatous perennial herb with ascending stems, 3-0.5 (-1) m high or long
Justicia betonica-type;Justicia-type betonica;ACANTHACEAE;N;herb;erect or trailing herb from a woody rootstock
Justicia cf. anselliana;Justicia anselliana-type;ACANTHACEAE;N;herb;rhizomatous perennial herb with ascending stems, 3-0.5 (-1) m high or long
Justicia cf. flava;Justicia-type flava;ACANTHACEAE;N;herb;trailing or erect, pubescent woody herb, 0.3-3 (-4) m high or long
Justicia coerulea;Justicia-type caerulea;ACANTHACEAE;N;herb;erect, pubescent woody herb
Justicia flava*;Justicia-type flava;ACANTHACEAE;N;herb;trailing or erect, pubescent woody herb, 0.3-3 (-4) m high or long
Justicia insularis;Justicia-type insularis;ACANTHACEAE;N;herb;herb, 30-90 cm high
Justicia type anselliana;Justicia anselliana-type;ACANTHACEAE;N;herb;rhizomatous perennial herb with ascending stems, 3-0.5 (-1) m high or long
Justicia type exigua;Justicia exigua-type;ACANTHACEAE;N;herb;creeping annual or perennial herb, rarely erect
Justicia* anselliana;Justicia anselliana-type;ACANTHACEAE;N;herb;rhizomatous perennial herb with ascending stems, 3-0.5 (-1) m high or long
Justicia-type flava;Justicia-type flava;ACANTHACEAE;N;herb;trailing or erect, pubescent woody herb, 0.3-3 (-4) m high or long
Justicia-type striata;Justicia striata-type;ACANTHACEAE;N;herb;pubescent herb, with ascending stems, 0.3-1 (-1.8) m high or long
Justitia flava-type;Justicia-type flava;ACANTHACEAE;N;herb;trailing or erect, pubescent woody herb, 0.3-3 (-4) m high or long
Justitia type anselliana;Justicia anselliana-type;ACANTHACEAE;N;herb;rhizomatous perennial herb with ascending stems, 3-0.5 (-1) m high or long
Monechma ciliatum;Monechma-type ciliatum;ACANTHACEAE;N;herb;herb, 30-60 cm high
Peristrophe;Peristrophe-type;ACANTHACEAE;N;herb;herbs
Peristrophe bicalyculata;Peristrophe-type paniculata;ACANTHACEAE;N;herb;much branched herb to 2 m tall
Phaulopsis;Phaulopsis-type;ACANTHACEAE;N;herb;herbs
Phaulopsis-type;Phaulopsis-type;ACANTHACEAE;N;herb;herbs
Phaylopsis;Phaulopsis-type;ACANTHACEAE;N;herb;herbs
Staurogyne;Staurogyne;ACANTHACEAE;N;herb;erect or creeping herbs
Achyranthes aspera;Achyranthes-type aspera;AMARANTHACEAE;N;herb;perennial herb, sometimes woody and somewhat suffrutescent, 0.2-2 m
Achyranthes cf. A. aspera;Achyranthes-type aspera;AMARANTHACEAE;N;herb;perennial herb, sometimes woody and somewhat suffrutescent, 0.2-2 m
Achyranthes* aspera;Achyranthes-type aspera;AMARANTHACEAE;N;herb;perennial herb, sometimes woody and somewhat suffrutescent, 0.2-2 m
Achyranthes-type;Achyranthes-type;AMARANTHACEAE;N;herb;herbs,rarely aquatic (A. aquatica)
Achyranthes-type aspera;Achyranthes-type aspera;AMARANTHACEAE;N;herb;perennial herb, sometimes woody and somewhat suffrutescent, 0.2-2 m
Aerva cf. persica;Aerva-type javanica;AMARANTHACEAE;N;herb;herb frequently shrubby or growing in erect clumps, 0.3-1.5 m tall
Aerva javanica-type;Aerva-type javanica;AMARANTHACEAE;N;herb;herb frequently shrubby or growing in erect clumps, 0.3-1.5 m tall
Aerva lanata type;Aerva-type lanata;AMARANTHACEAE;N;herb;perennial herb 0.3-2 m tall
Aerva persica;Aerva-type javanica;AMARANTHACEAE;N;herb;herb frequently shrubby or growing in erect clumps, 0.3-1.5 m tall
Aerva type persica;Aerva-type javanica;AMARANTHACEAE;N;herb;herb frequently shrubby or growing in erect clumps, 0.3-1.5 m tall
AERVA* JAVANICA;Aerva-type javanica;AMARANTHACEAE;N;herb;herb frequently shrubby or growing in erect clumps, 0.3-1.5 m tall
AERVA* LANATA;Aerva-type lanata;AMARANTHACEAE;N;herb;perennial herb 0.3-2 m tall
Aerva/Cornulaca;Aerva/Cornulaca;AMARANTHACEAE;N;herb;herbs
Aerva-type javanica;Aerva-type javanica;AMARANTHACEAE;N;herb;herb frequently shrubby or growing in erect clumps, 0.3-1.5 m tall
Aerva-type persica;Aerva-type javanica;AMARANTHACEAE;N;herb;herb frequently shrubby or growing in erect clumps, 0.3-1.5 m tall
Alternanthera;Alternanthera;AMARANTHACEAE;N;herb;herbs, prostrate or erect to scrambling or floating (A. littoralis, A. sessilis)
Alternanthera sp;Alternanthera;AMARANTHACEAE;N;herb;herbs, prostrate or erect to scrambling or floating (A. littoralis, A. sessilis)
Alternanthera-type;Alternanthera;AMARANTHACEAE;N;herb;herbs, prostrate or erect to scrambling or floating (A. littoralis, A. sessilis)
Althernantera;Alternanthera;AMARANTHACEAE;N;herb;herbs, prostrate or erect to scrambling or floating (A. littoralis, A. sessilis)
Althernanthera-type;Alternanthera;AMARANTHACEAE;N;herb;herbs, prostrate or erect to scrambling or floating (A. littoralis, A. sessilis)
Amaranthus;Amaranthus-type;AMARANTHACEAE;N;herb;annual, more rarely perennial, herbs
Amaranthus/Chenopodium;Amaranthus/Chenopodium;AMARANTHACEAE;N;herb;herbs
Amaranthus-type;Amaranthus-type;AMARANTHACEAE;N;herb;annual, more rarely perennial, herbs
Celosia (Amaranthaceae);Celosia-type;AMARANTHACEAE;N;herb;erect annual or perennial herbs, occasionally scandent
Celosia argentea-type;Celosia argentea-type;AMARANTHACEAE;N;herb;erect annual herb 0.4-2 m tall
Lobostemon;Echiochilon;BORAGINACEAE;N;herb;perennial herbs
Pulmonaria cf;Pulmonaria;BORAGINACEAE;N;herb;perennial herbs
Symphytum;Symphytum-type;BORAGINACEAE;N;herb;herbs
t.Anchusa;Anchusa-type;BORAGINACEAE;N;herb;herbs
Trichodesma africana;Trichodesma africanum-type;BORAGINACEAE;N;herb;erect branched annual herb 60-90 cm high
Trichodesma deux especes;Trichodesma;BORAGINACEAE;N;herb;herbs or subshrubs
Trichodesma zeylanicum-type;Trichodesma zeylanicum-type;BORAGINACEAE;N;herb;perennial erect and usually branched herb or subshrubby herb 0.3-1.5 m tall
Trichodesma-type;Trichodesma;BORAGINACEAE;N;herb;herbs or subshrubs
Arabis cf.;Arabis-type;BRASSICACEAE;N;herb;herbs
Cardamine;Cardamine;BRASSICACEAE;N;herb;annual to perennial, often rhizomatous herbs
Cf Arabis;Arabis-type;BRASSICACEAE;N;herb;herbs
cf. Rorippa;Rorippa-type;BRASSICACEAE;N;herb;herbs
Erucastrum;Erucastrum;BRASSICACEAE;N;herb;annual or perennial herbs, rarely subshrubs
Farsetia cf. stenoptera;Farsetia stenoptera-type;BRASSICACEAE;N;herb;annual or perennial herb or subshrub, 0,2-2 m high
Farsetia ramossissima;Farsetia stylosa-type;BRASSICACEAE;N;herb;annual or perennial herb or subshrub, 20-60 cm tall
Heliophila;Heliophila-type;BRASSICACEAE;N;herb;annual-Herb
Sinapis-type;Sinapsis-type;BRASSICACEAE;N;herb;annual or perennial herbs, rarely subshrubs
Subularia;Subularia monticola;BRASSICACEAE;N;herb;short-lived stemless herb, 1.5-16 cm tall
Subularia-type monticola;Subularia monticola;BRASSICACEAE;N;herb;short-lived stemless herb, 1.5-16 cm tall
Zilla;Zilla spinosa;BRASSICACEAE;N;herb;spiny subshrub
Crassularia;Crassula granvikii-type;CRASSULACEAE;N;herb;glabrous annual herb, often aquatic
Crassula-type alba;Crassula alba-type;CRASSULACEAE;N;herb;perennial or biennal succulent herb, up to 90 cm high
Sedum;Sedum;CRASSULACEAE;N;herb;annual or perennial herbs, occasionally subshrubby, sometimes epiphytics
Ascolepis;Ascolepis;CYPERACEAE;N;herb;slender annuals or more robust perennial herbs
Ascolepis type;Ascolepis;CYPERACEAE;N;herb;slender annuals or more robust perennial herbs
Carex/Cyperus;Carex/Cyperus;CYPERACEAE;N;herb;perennial herbs
cf Mariscus sp;Mariscus;CYPERACEAE;N;herb;herb
Cyperaceae Ascolepis;Ascolepis;CYPERACEAE;N;herb;slender annuals or more robust perennial herbs
Cyperus;Cyperus-type;CYPERACEAE;N;herb;annual or perennial herbs
Cyperus comglomeratus;Cyperus-type conglomeratus;CYPERACEAE;N;herb;herb
Cyperus longus-type;Cyperus-type longus;CYPERACEAE;N;herb;herb
Cyperus rotundus;Cyperus-type rotundus;CYPERACEAE;N;herb;herb
Cyperus spp;Cyperus-type;CYPERACEAE;N;herb;annual or perennial herbs
Cyperus-type;Cyperus-type;CYPERACEAE;N;herb;annual or perennial herbs
Cyperus-type laevigatus;Cyperus-type laevigatus;CYPERACEAE;N;herb;herb
Mariscus alternifolius;Mariscus sumatrensis-type;CYPERACEAE;N;herb;herb
Scirpus;Scirpus;CYPERACEAE;N;herb;perennial herbs
type Carex;Carex-type;CYPERACEAE;N;herb;perennial herbs
Uncinia;Carex-type;CYPERACEAE;N;herb;perennial herbs
(Scabiosa);Scabiosa-type;DIPSACACEAE;N;herb;annual or perennial herbs
Chrozophora verbascifolia-type;Chrozophora tinctoria-type;EUPHORBIACEAE;N;herb;annual herb
Cyathogyne-type;Cyathogyne;EUPHORBIACEAE;N;herb;perennial herbs or subshrubs 2 m tall
Euphorbia acalyphoides;Euphorbia-type acalyphoides;EUPHORBIACEAE;N;herb;annual herb to 45 cm high
Euphorbia cf. E. hirta;Euphorbia-type hirta;EUPHORBIACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs or trees, sometimes succulent
Euphorbia glomerifica-type;Euphorbia-type glomerifica;EUPHORBIACEAE;N;herb;erect annual herb to 5.5 m high
Euphorbia hirta;Euphorbia-type hirta;EUPHORBIACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs or trees, sometimes succulent
Euphorbia hypercifolia;Euphorbia-type indica;EUPHORBIACEAE;N;herb;annual herb, spreading or erect, with branches to 50 (-100) cm long
Euphorbia hypericifolia;Euphorbia-type indica;EUPHORBIACEAE;N;herb;annual herb, spreading or erect, with branches to 50 (-100) cm long
Euphorbia hypericifolia-type;Euphorbia-type indica;EUPHORBIACEAE;N;herb;annual herb, spreading or erect, with branches to 50 (-100) cm long
Euphorbia prostrata-type;Euphorbia-type prostrata;EUPHORBIACEAE;N;herb;annual-Herb - Ht 0.1 - 0.2 m
Euphorbia type hypericifolia;Euphorbia-type indica;EUPHORBIACEAE;N;herb;annual herb, spreading or erect, with branches to 50 (-100) cm long
Euphorbia-type acalypha;Euphorbia-type acalyphoides;EUPHORBIACEAE;N;herb;annual herb to 45 cm high
Euphorbia-type heterophylla;Euphorbia-type heterophylla;EUPHORBIACEAE;N;herb;annual-Herb - Ht 0.3 - 1 m.
Euphorbia-type indica;Euphorbia-type indica;EUPHORBIACEAE;N;herb;annual herb, spreading or erect, with branches to 50 (-100) cm long
Euphrobia prostrata-type;Euphorbia-type prostrata;EUPHORBIACEAE;N;herb;annual-Herb - Ht 0.1 - 0.2 m
Mercurialis (Africa);Mercurialis;EUPHORBIACEAE;N;herb;herbs
Micrococca mercurialis-type;Micrococca-type mercurialis;EUPHORBIACEAE;N;herb;annual herb up to 60 cm tall
Phyllanthus amarus;Phyllanthus-type amarus;EUPHORBIACEAE;N;herb;erect or ascending annual herb up to 60 cm high
PHYLLANTHUS BOEHMII*;Phyllanthus-type boehmi;EUPHORBIACEAE;N;herb;Monoecious or sometimes dioecious erect annual herb to 40 cm tall, sometimes becoming woody at the base and then reaching 2 m in height
Phyllanthus cf. niruri (R3cp 11);Phyllanthus-type fraternus;EUPHORBIACEAE;N;herb;erect annual herb 10-45 cm tall
Phyllanthus maderaspatensi;Phyllanthus-type maderaspatensis;EUPHORBIACEAE;N;herb;erect woody perennial herb 15-120 m tall
Phyllanthus maderaspatensis-tpe;Phyllanthus-type maderaspatensis;EUPHORBIACEAE;N;herb;erect woody perennial herb 15-120 m tall
Phyllanthus niruri;Phyllanthus-type fraternus;EUPHORBIACEAE;N;herb;erect annual herb 10-45 cm tall
Phyllanthus rivae-type;Phyllanthus-type leucanthus;EUPHORBIACEAE;N;herb;herb 1 m tall
Phyllanthus* amarus;Phyllanthus-type amarus;EUPHORBIACEAE;N;herb;erect or ascending annual herb up to 60 cm high
Phyllanthus-type amaris;Phyllanthus-type amarus;EUPHORBIACEAE;N;herb;erect or ascending annual herb up to 60 cm high
Phyllanthus-type boehmi;Phyllanthus-type boehmi;EUPHORBIACEAE;N;herb;Monoecious or sometimes dioecious erect annual herb to 40 cm tall, sometimes becoming woody at the base and then reaching 2 m in height
Phyllanthus-type maderaspatensis;Phyllanthus-type maderaspatensis;EUPHORBIACEAE;N;herb;erect woody perennial herb 15-120 m tall
Phyllanthus-type niruri;Phyllanthus-type fraternus;EUPHORBIACEAE;N;herb;erect annual herb 10-45 cm tall
Phyllanthus-type rivae;Phyllanthus-type leucanthus;EUPHORBIACEAE;N;herb;herb 1 m tall
Tragia-type hildebrandtii;Tragia-type hildebrandtii;EUPHORBIACEAE;N;herb;erect annual or subperennial herb, up to 1.5 m high
type Euphorbia hirta;Euphorbia-type hirta;EUPHORBIACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs or trees, sometimes succulent
Alysicarpus cf. A. africana;Alysicarpus;FABACEAE;N;herb;annual or perennial herbs
Anthyllis;Anthyllis vulneraria;FABACEAE;N;herb;annual or perennial herb
Anthyllis-type;Anthyllis vulneraria;FABACEAE;N;herb;annual or perennial herb
Arachis hypogaea;Arachis hypogaea;FABACEAE;N;herb;annual herb, stems 30 cm long
Astragalus gombiformis-type;Astragalus gombo-type;FABACEAE;N;herb;herb
Canavalia;Canavalia-type;FABACEAE;N;herb;perennial herbs, sometimes climbing
Centrosema;Centrosema-type;FABACEAE;N;herb;herbs or subshrubs, climbing or prostrate
cf. Alysicarpus africana;Alysicarpus;FABACEAE;N;herb;annual or perennial herbs
cf. Trifolium;Trifolium-type;FABACEAE;N;herb;annual or perennial herbs
Chamaecrysta;Chamaecrista-type;FABACEAE;N;herb;annual herb somtimes woody at base, erect or procumbent
Blepharis type;Blepharis-type;ACANTHACEAE;N;herb;erect or prostrate annual or perennial herbs or subshrubs
Blepharis/Acanthus type;Blepharis/Acanthus;ACANTHACEAE;N;herb;erect or prostrate annual or perennial herbs or subshrubs
Blepharis-type;Blepharis-type;ACANTHACEAE;N;herb;erect or prostrate annual or perennial herbs or subshrubs
cf Blepharis;Blepharis-type;ACANTHACEAE;N;herb;erect or prostrate annual or perennial herbs or subshrubs
Chorcorus;Corchorus-type;ACANTHACEAE;N;herb;Branching annual (or perennial) herb 0,2-1 m tall
Dicliptera;Dicliptera-type;ACANTHACEAE;N;herb;erect or straggling herbs
Dicliptera-type;Dicliptera-type;ACANTHACEAE;N;herb;erect or straggling herbs
Hygrophila abyssinica-type;Hygrophila abyssinica-type;ACANTHACEAE;N;herb;straggling herb
HYGROPHILA*;Hygrophila;ACANTHACEAE;N;herb;annual or perennial herbs
Lobostemon-type;Echiochilon;BORAGINACEAE;N;herb;perennial herbs
Pulmonaria-type;Pulmonaria;BORAGINACEAE;N;herb;perennial herbs
Symphytum-type;Symphytum-type;BORAGINACEAE;N;herb;herbs
Trichodesma;Trichodesma;BORAGINACEAE;N;herb;herbs or subshrubs
Trichodesma africanum-type;Trichodesma africanum-type;BORAGINACEAE;N;herb;erect branched annual herb 60-90 cm high
Trichodesma deux espèces;Trichodesma;BORAGINACEAE;N;herb;herbs or subshrubs
Trichodesma zyeylanicum;Trichodesma zeylanicum-type;BORAGINACEAE;N;herb;perennial erect and usually branched herb or subshrubby herb 0.3-1.5 m tall
type Heliotropium;Heliotropium;BORAGINACEAE;N;herb;annual or perennial herbs or subshrubs
Brassica-type;Brassica;BRASSICACEAE;N;herb;herb
Cardamine (cf);Cardamine;BRASSICACEAE;N;herb;annual to perennial, often rhizomatous herbs
cf. Arabis;Arabis-type;BRASSICACEAE;N;herb;herbs
Cruciferae (-- Subularia);Subularia monticola;BRASSICACEAE;N;herb;short-lived stemless herb, 1.5-16 cm tall
Farsetia;Farsetia;BRASSICACEAE;I;undifferentiated (tree, shrub, herb, liana..);annual or perennial herbs or shrubs
Farsetia ramosissima Type, 25µm;Farsetia stylosa-type;BRASSICACEAE;N;herb;annual or perennial herb or subshrub, 20-60 cm tall
